clusters,average_submitted_chrg_amt_mean,average_submitted_chrg_amt_median,average_submitted_chrg_amt_count,line_srvc_cnt_mean,line_srvc_cnt_median,line_srvc_cnt_count,coverage_rate_mean,coverage_rate_median,coverage_rate_count,total_spending_mean,total_spending_median,total_spending_count,Latitude_mean,Latitude_median,Latitude_count,Longitude_mean,Longitude_median,Longitude_count
113,608.590382018202,453.27272727,79,101.07594936708861,56.0,79,0.7505364729555433,0.7626555634619938,79,69922.18493689495,23778.000000540003,79,38.08532731645569,38.179418,79,-99.75881936708863,-99.32559,79
114,484.2958252344117,436.845394735,204,69.41176470588235,56.5,204,0.7381305704678903,0.7457857552661247,204,34935.2654901922,23951.999999909996,204,46.82705989705879,46.798339,204,-92.1099072058825,-92.09568,204
115,667.0271471357105,593.38461538,1457,102.95744680851064,70.0,1457,0.7527985471728301,0.7608021998778572,1457,71117.28790665985,35681.0,1457,40.661014459162026,40.601261,1457,-75.4516399457795,-75.37541999999999,1457
116,478.63290836353707,423.0,2650,77.06679245283019,53.0,2650,0.7641730478274918,0.7700255333314445,2650,35647.647652826,17746.52,2650,44.927529009057224,44.935315,2650,-93.29510777396429,-93.27301999999999,2650
117,633.2167930016353,498.75,1325,104.49283018867925,71.0,1325,0.7530991208598306,0.7603281183406573,1325,64272.8269886965,27588.0,1325,43.15495273660404,43.011227000000005,1325,-84.03766217056692,-83.97142,1325
118,809.0733164018127,741.199224805,1312,96.61814024390245,59.0,1312,0.7532495440178747,0.762290210479245,1312,82619.80871185414,34137.5,1312,36.21952081021364,36.186605,1312,-86.76211585365851,-86.785248,1312
119,633.4610527734461,511.29393939,2060,90.3626213592233,59.0,2060,0.7701692456952156,0.7699141818796952,2060,63315.36152914836,27305.0,2060,39.258379883980304,39.295306,2060,-76.60242593932077,-76.62118000000001,2060
120,796.7245563228787,847.13,1098,93.71493624772313,61.5,1098,0.7584097266302582,0.7655717728294704,1098,74636.50857022834,28770.1,1098,30.31032823952635,30.292424,1098,-97.75940654371486,-97.74103000000001,1098
121,575.3022107203907,493.56732673500005,220,85.30909090909091,55.0,220,0.7318649245346266,0.7338420734751523,220,53862.02654542096,26037.000000380005,220,45.04573254545462,44.958382,220,-89.64895522727285,-89.6693,220
122,653.4570801084238,539.96337911,818,99.05501222493888,70.0,818,0.7519632439443609,0.7585150303897625,818,69399.9336675937,28704.499999673997,818,37.848477783618364,38.032075,818,-84.46473675305606,-84.508361,818
123,498.60174274318535,491.15610644000003,702,91.6025641025641,59.0,702,0.8058570332928404,0.7843359818388195,702,45991.1532051522,19628.999999935,702,36.68428953846166,36.733193,702,-119.671963917379,-119.78473000000001,702
124,654.3417106419412,544.0,429,99.75524475524476,69.0,429,0.7705395356239567,0.7713520430345866,429,69565.33685332227,30881.000000239997,429,39.45075115617705,39.749457,429,-89.47337853846071,-89.60601700000001,429
125,730.1136231095134,618.99305556,347,104.45244956772335,66.0,347,0.7438244399356386,0.749988416614366,347,77385.79319891884,34980.0,347,38.49819334870322,38.473960999999996,347,-82.69372518732024,-82.64532,347
126,569.0566987541514,440.0,297,92.68013468013469,55.0,297,0.7311380309195408,0.734993003509488,297,50509.17164989924,28456.7499996,297,44.99785669023553,44.81777,297,-68.70557501683497,-68.78952,297
127,703.2529623741823,614.0,418,112.63397129186603,85.5,418,0.7561606113830708,0.7651756840476283,418,78234.10892346995,36894.4999997,418,41.066427050239305,41.098248,418,-85.08106332535962,-85.12061,418
128,366.2258019685628,302.57142857,343,96.865889212828,68.0,343,0.7412273980066446,0.7476987904106467,343,35660.14798832996,16210.99999997,343,43.22939051311944,43.525226,343,-96.4783991253642,-96.73297,343
